Customer_No,Purchase,Dollars_Spent,Yearly_Income,Home_Value,Order_Frequency,Recency,Married,Name_Prefix,Age,Telemarket_Ind.,Rents_Apartment,Occupied_<1 yr,Domestic_Prod,Apparel_Purch,Leisure_Prod,Kitchen_Prod,Luxury_Items,Promo_1-7_mon,Promo_8-13_mon,County_Code,Total_Returns,Mens_Apparel,Flatware_Purch,Dishes_Purch,Home_Furniture,Lamps_Purch,Linens_Purch,Blankets_Purch,Towels_Purch,Outdoor_Prod,Coats_Purch,Ladies_Coats,Ladies_Apparel,His_Her_Apparel,Jewelry_Purch,Date_1st_Order,Telemarket_Ord,Account_Number,State_Code,Race,Heating_Type,Number_of_Cars,Number_of_Kids,Travel_Time,Education_Level,Job_Category,$_Value_per_Mailing,Total_Dining_kitch_dish_flat,Sex
16,1,130,48200,137200,1.74,43,1,Mr,28,1,0,0,0,0,0,1,0,34,31,81,-999,0,2,1,5,4,2,0,2,0,2,1,5,0,0,14/12/1998,0,1020227136,NY,2,2,1,0,52,2,1,2,4,male
17,0,0,25000,51000,1.11,836,1,Mrs,34,1,0,0,0,0,0,0,0,15,14,141,0,0,1,0,4,0,0,1,4,1,0,1,2,1,1,31/03/1999,0,1021188048,FL,1,1,2,0,25,2,11,0,1,female
18,0,347,26400,58300,0.14,36,1,Mrs,22,1,0,0,0,0,0,0,0,2,11,29,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10/01/1999,0,1023226580,NY,1,2,1,1,20,3,15,26.69230769,1,female
19,1,90,23300,43900,0.58,148,1,Mrs,37,1,0,0,1,1,0,0,0,34,19,33,7,0,1,0,3,0,0,0,1,0,1,0,2,0,0,06/03/1999,0,1023526500,PA,1,3,2,0,18,2,11,1.698113208,1,female
20,1,2584,43800,188500,7.32,8,0,Ms,64,1,0,0,4,16,14,2,1,99,72,123,10,17,3,0,9,2,2,1,9,29,7,3,28,12,1,10/02/1999,2,1023708009,NY,1,3,2,0,18,3,11,15.11111111,5,female
21,1,254,36600,74600,3.18,81,1,Mr,41,1,0,0,2,0,1,0,0,71,21,3,22,4,0,6,3,0,8,7,5,7,1,2,22,1,0,16/01/1999,0,1024521344,PA,1,2,2,0,20,3,11,2.760869565,6,male
22,1,0,31100,69100,0.68,567,1,Mrs,36,1,0,0,0,0,0,0,0,15,9,59,1,0,1,0,6,0,3,0,1,0,0,0,0,0,0,01/01/1999,0,1025260272,PA,1,2,1,0,16,2,9,0,1,female
23,0,149,24400,45400,0.84,183,1,Mr,28,1,0,0,1,0,1,0,0,57,48,129,1,2,1,0,0,0,0,0,2,1,1,0,0,1,0,28/12/1998,0,1025482702,PA,1,2,1,2,16,2,11,1.419047619,1,male
24,0,54,29000,75200,0.39,105,1,Mrs,35,1,0,0,0,0,0,0,0,33,21,131,-999,0,0,0,2,1,1,1,0,0,0,0,0,0,0,28/01/1999,0,1027992211,PA,1,3,2,0,23,2,11,1,0,female
25,0,511,34200,78300,2.54,45,1,Ms,25,1,0,0,4,1,0,2,0,68,46,45,-999,1,2,1,12,0,5,1,8,4,4,3,10,3,2,13/02/1999,1,1028364717,PA,1,2,1,2,26,3,11,4.48245614,5,female
26,0,512,13900,21800,5.69,24,0,Ms,29,1,0,0,2,1,1,1,0,90,67,101,46,0,2,1,10,2,12,2,4,10,0,0,21,1,1,17/12/1998,0,1029017520,PA,2,2,1,3,18,2,14,3.261146497,4,female
27,0,1892,44000,104700,4,10,1,Ms,27,1,0,0,6,3,4,1,1,86,67,3,7,0,3,0,3,2,5,2,7,8,0,0,5,11,2,05/01/1999,0,1029800891,DE,1,2,2,1,18,3,16,12.36601307,4,female
28,1,0,22100,88400,1.55,431,0,None,31,1,0,0,0,0,0,0,0,46,45,1,1,2,2,0,5,0,1,0,1,3,7,4,2,2,2,18/01/1999,0,1030200586,DC,2,2,1,0,31,2,1,0,2,female
29,1,505,23100,43400,3.79,1,1,Mrs,25,1,0,0,0,7,1,0,0,64,47,0,33,9,1,3,1,1,1,8,1,2,5,4,31,3,1,22/02/1999,0,1034137628,VA,1,1,2,1,23,1,11,4.54954955,4,female
30,0,39,18800,23900,1.16,396,1,Mr,34,1,0,0,0,1,0,0,0,21,25,47,-999,0,1,0,1,0,3,0,0,2,1,2,6,0,1,14/01/1999,0,1034641405,WV,1,4,1,1,20,1,14,0.847826087,1,male
31,0,136,29800,77100,1.47,238,1,Ms,27,1,0,0,0,1,0,0,0,73,60,0,1,1,1,0,2,1,2,1,3,2,1,1,3,0,1,17/01/1999,0,1034989341,WV,1,1,2,7,26,2,11,1.022556391,1,female
32,0,0,18900,35100,0.46,484,1,Ms,36,1,0,0,0,0,0,0,0,16,13,0,-999,1,2,0,0,0,0,1,1,0,1,2,0,0,1,02/04/1999,0,1035543246,WV,1,4,1,0,17,1,14,0,2,female
33,1,847,22600,38000,4.64,42,1,Ms,34,1,1,0,6,0,4,2,1,89,65,0,52,3,4,2,3,11,9,3,31,21,2,3,12,0,4,02/04/1999,1,1035630266,WV,1,2,2,0,24,2,14,5.5,8,female
34,1,2029,24900,35500,8.25,0,0,Mrs,28,1,0,0,17,15,2,1,0,94,68,17,55,18,4,2,7,2,17,12,41,5,11,4,33,11,7,04/03/1999,0,1035655172,WV,1,2,1,3,20,2,14,12.52469136,7,female
35,1,252,21700,41100,1.48,193,1,Mrs,43,1,0,0,1,0,0,0,0,40,34,131,17,1,1,2,1,0,4,0,4,4,0,0,3,0,1,23/01/1999,0,1036811154,NC,2,3,1,1,19,2,11,3.405405405,3,female
36,1,151,28300,57100,1.63,51,1,Ms,28,1,0,0,0,0,2,0,0,1,19,0,9,0,0,2,6,1,3,0,8,1,0,0,1,1,0,29/12/1998,0,1036868584,NC,1,2,1,1,14,2,11,7.55,2,female
37,1,45,30100,61300,1.16,266,1,Mrs,38,1,0,0,1,0,0,0,0,32,24,51,5,1,0,0,1,0,1,0,5,0,2,2,1,0,0,13/02/1999,0,1037654983,NC,1,1,2,3,20,2,11,0.803571429,0,female
38,0,3553,26300,51700,9.43,7,1,Mrs,34,1,0,0,22,6,6,0,1,91,69,0,4,2,2,0,33,4,18,5,34,6,1,4,24,7,4,11/12/1998,0,1037699707,NC,2,1,2,0,19,2,11,22.20625,2,female
39,0,413,22900,45000,0.42,5,0,Mrs,33,1,0,0,1,1,0,1,1,10,2,0,-999,0,1,0,0,1,2,0,2,0,0,0,0,1,1,13/01/1999,0,1038063523,NC,1,1,2,0,24,2,11,34.41666667,2,female
40,1,741,32300,72400,2.49,10,1,Mrs,32,1,0,0,1,1,1,0,1,61,40,0,1,2,1,0,0,2,0,0,4,7,2,1,6,2,2,16/01/1999,0,1038963730,SC,1,1,2,3,17,3,11,7.336633663,1,female
41,1,148,45600,118300,0.35,114,1,Mrs,33,1,0,0,0,0,0,1,0,43,21,91,5,1,0,0,0,0,0,1,0,0,0,2,0,1,0,27/01/1999,0,1039794779,SC,1,1,2,0,14,3,1,2.3125,1,female
42,0,690,41900,74400,0.56,25,1,Mr,31,1,0,0,2,1,3,0,0,45,22,63,-999,0,3,0,2,0,0,0,0,1,0,0,1,0,1,17/03/1999,0,1040488064,GA,1,2,2,0,26,3,1,10.29850746,3,male
43,1,131,35000,79300,2.59,60,1,Mrs,28,1,1,0,1,0,0,0,0,25,12,89,0,1,4,1,8,0,4,1,2,1,2,1,21,4,0,12/02/1999,0,1040750216,GA,1,2,2,0,19,3,16,3.540540541,5,female
44,0,532,25800,67000,1.44,329,1,Mr,27,1,0,0,0,1,0,0,0,65,57,137,-999,0,1,1,1,1,4,0,2,1,0,1,0,0,6,22/01/1999,0,1040972646,GA,1,2,2,1,15,1,11,4.360655738,2,male
45,1,1632,25200,49200,2.04,0,1,Ms,44,1,0,1,1,4,3,1,0,75,39,0,4,2,2,0,2,0,3,0,1,4,2,1,3,0,6,28/12/1998,1,1041048891,GA,1,4,2,2,17,2,11,14.31578947,3,female
46,0,666,0,0,0.35,58,1,Mr,15,1,0,0,0,0,2,0,0,44,41,0,-999,0,2,0,0,0,1,0,1,0,0,0,0,0,0,28/01/1999,0,1042246338,FL,2,1,0,0,0,1,1,7.835294118,2,male
47,1,180,26300,51100,2.2,9,0,Mr,27,1,0,0,1,1,0,0,0,14,0,0,4,7,0,0,3,1,2,1,1,0,3,4,11,1,2,17/01/1999,0,1046608749,AL,1,1,2,3,15,2,11,12.85714286,0,male
48,1,0,23400,36700,0.52,764,1,Mrs,30,1,0,0,0,0,0,0,0,25,20,15,-999,0,0,2,3,0,0,2,4,0,1,0,0,0,1,18/03/1999,0,1046796460,AL,1,2,2,0,18,1,11,0,2,female
49,0,196,25800,64600,1.98,220,1,Ms,34,1,0,0,1,1,1,0,0,54,46,97,10,1,1,1,2,2,3,1,4,4,9,1,0,4,1,16/01/1999,0,1047006349,AL,1,1,2,1,22,2,14,1.96,2,female
50,0,538,21800,46800,0.96,72,1,Mr,29,1,0,0,1,2,1,0,0,16,3,0,-999,4,1,1,0,1,1,0,2,2,1,2,2,2,3,16/01/1999,0,1048317265,TN,1,1,2,2,17,1,11,28.31578947,2,male
51,0,0,26300,42000,0.09,835,1,Mr,31,0,0,0,0,0,0,0,0,18,16,145,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/01/1999,0,1049384686,MS,1,1,2,0,23,2,11,0,0,male
52,0,2069,27000,41400,1.4,30,0,Ms,34,0,0,1,7,0,5,2,1,76,56,179,8,0,0,0,5,3,5,2,2,6,1,0,0,0,1,04/03/1999,0,1050259884,KY,1,3,2,0,31,1,11,15.67424242,2,female
53,0,0,32400,43900,1.2,499,1,Mrs,18,1,0,0,0,0,0,0,0,33,38,111,6,1,0,3,1,1,3,0,4,1,1,3,4,0,0,05/03/1999,0,1050491370,KY,1,2,1,2,20,3,1,0,3,female
54,0,0,35100,69500,0.85,445,1,Mrs,44,1,0,0,0,0,0,0,0,40,37,47,-999,0,1,1,1,0,2,1,3,1,0,2,3,0,0,06/02/1999,0,1051630000,KY,1,2,2,0,13,3,16,0,2,female
55,1,94,29200,52800,0.4,263,1,Mr,30,0,0,0,0,0,1,0,0,48,39,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,23/12/1998,0,1051759452,KY,1,2,2,0,13,3,16,1.08045977,1,male
56,0,1154,28900,58300,0.8,0,1,Mr,41,1,0,0,3,0,1,2,1,51,15,0,-999,0,2,1,1,0,2,0,3,0,0,0,0,0,0,12/03/1999,0,1052229851,OH,1,2,2,0,24,2,11,17.48484849,5,male
57,1,56,43300,73400,0.42,99,0,Mrs,59,1,0,0,0,0,0,1,0,4,0,49,-999,0,0,0,0,0,0,2,1,0,1,1,0,0,0,10/02/1999,0,1052510441,OH,1,2,2,1,22,3,1,14,1,female
58,1,0,20900,38400,0.62,477,0,Ms,32,1,0,0,0,0,0,0,0,25,25,67,6,1,0,0,5,0,4,0,1,0,2,3,0,1,1,25/03/1999,0,1053278428,OH,1,3,2,0,20,1,16,0,0,female
59,1,369,26600,36200,0.5,221,1,Mrs,31,1,0,0,4,0,1,0,0,34,22,67,7,0,1,0,5,0,0,0,0,0,0,0,0,0,0,03/12/1998,0,1053426134,OH,1,2,2,0,19,2,16,6.589285714,1,female
60,1,2279,22800,34500,7.33,15,0,Ms,35,1,0,0,13,2,2,1,1,73,60,81,13,0,0,0,25,7,9,7,19,2,3,7,17,3,4,08/12/1998,0,1053809784,WV,1,1,2,0,30,2,14,17.13533835,1,female
61,0,56,31300,54500,0.43,182,1,Ms,31,1,0,0,1,0,0,0,0,8,0,0,3,1,1,0,0,0,1,2,1,1,0,0,0,0,0,05/01/1999,0,1055615593,OH,1,2,2,0,16,2,11,7,1,female
62,0,0,29900,44000,0.55,641,1,Ms,38,1,0,0,0,0,0,0,0,38,31,41,-999,0,2,1,7,0,0,0,0,0,0,0,1,0,1,23/12/1998,0,1059687689,IN,1,2,2,3,11,2,11,0,3,female
63,0,261,39500,78500,1.93,262,0,Mrs,25,1,0,0,4,1,0,1,0,56,37,129,-999,0,0,1,5,0,4,1,2,1,4,2,9,1,2,04/01/1999,0,1060068440,IN,1,2,2,0,23,3,11,2.806451613,2,female
64,1,644,37300,67200,2.44,7,0,Ms,26,1,0,0,2,1,1,0,1,75,57,125,6,12,0,1,5,0,3,1,4,6,2,1,1,1,2,23/12/1998,0,1060496948,MI,1,2,2,3,19,3,11,4.878787879,1,female
65,1,0,49500,90100,1.39,608,1,Mr,27,1,0,0,0,0,0,0,0,60,45,99,-999,3,1,0,0,2,3,1,3,3,8,0,1,0,1,23/01/1999,0,1060628342,MI,1,2,2,0,21,3,16,0,1,male
66,1,629,31550,59201,2.12,2,0,Ms,27,1,0,1,0,0,1,0,0,71,74,-999,19,3,2,1,0,1,4,1,3,3,2,4,7,1,5,31/03/1999,0,1060909700,TN,1,2,2,0,19.7603005,3,11,4.337931035,3,female
67,1,0,19100,17200,1.16,785,0,Ms,29,1,0,0,0,0,0,0,0,40,35,163,-999,2,0,0,2,1,4,1,3,0,1,2,4,1,0,14/12/1998,0,1062131709,MI,2,2,1,0,20,2,1,0,0,female
68,1,0,31800,54300,0.43,676,1,Mrs,26,1,0,0,0,0,0,0,0,12,10,145,-999,0,2,0,0,0,1,0,0,1,1,0,0,0,0,10/12/1998,0,1062601180,MI,1,2,2,2,19,2,11,0,2,female
69,0,164,29300,51400,0.69,0,1,Mr,31,1,0,0,1,0,1,0,0,25,30,65,5,0,0,0,2,2,2,1,0,2,0,0,0,0,0,28/12/1998,0,1063602252,MI,1,2,1,1,18,3,1,2.981818182,0,male
70,1,27,23800,35000,0.69,213,0,Ms,30,1,0,0,0,0,0,0,0,40,16,125,1,0,1,0,2,1,0,2,0,0,2,0,2,0,0,11/12/1998,0,1065326785,IA,1,2,2,0,13,2,11,0.482142857,1,female
71,1,271,36700,54000,2.87,4,1,Mr,38,1,0,0,1,1,1,0,1,11,5,163,9,8,3,3,8,0,6,1,4,2,9,3,21,0,7,27/01/1999,0,1066753011,IA,1,2,2,2,16,3,16,16.9375,6,male
72,1,0,27300,44800,1.07,637,1,Ms,44,1,0,0,0,0,0,0,0,9,8,123,0,0,1,0,2,0,1,1,6,1,0,1,8,0,0,01/01/1999,0,1067201408,WI,1,2,1,2,8,2,11,0,1,female
73,0,176,12500,82900,0.87,28,1,Ms,24,1,0,1,2,0,0,0,0,34,24,35,0,0,1,2,2,4,4,2,0,0,0,4,2,0,0,16/01/1999,0,1068788775,WI,1,3,1,0,11,3,16,3.034482759,3,female
74,1,1011,19200,38200,5.45,0,1,Mrs,31,1,1,0,6,7,1,5,1,32,18,5,72,2,1,0,8,0,7,4,7,3,6,18,23,4,3,22/02/1999,3,1068949575,WI,1,2,1,0,11,3,11,20.22,6,female
75,0,278,33100,54800,1.56,226,0,Mr,35,1,0,0,6,0,0,0,0,61,28,113,6,0,0,0,7,1,6,1,5,0,2,6,7,2,3,01/01/1999,0,1069184305,WI,1,3,2,0,9,3,16,3.123595506,0,male
76,1,258,21700,36000,2.89,257,0,Mr,28,1,0,1,2,0,0,1,0,65,48,103,7,2,3,2,4,2,7,5,9,1,1,5,5,1,5,06/04/1999,0,1071507139,SD,1,2,2,0,16,3,16,2.283185841,6,male
77,1,124,23700,44200,1.04,114,1,Mrs,31,1,0,0,1,0,0,1,0,37,5,0,-999,0,1,2,1,0,3,0,4,4,0,0,0,1,2,11/02/1999,0,1072884362,WI,1,2,2,0,13,2,11,2.952380952,4,female
78,0,0,40500,139900,0.43,406,1,Ms,33,1,0,0,0,0,0,0,0,20,13,31,-999,0,0,0,1,0,1,0,0,0,1,2,0,0,1,10/12/1998,0,1074440999,IL,1,2,1,1,23,3,11,0,0,female
79,1,343,29000,39500,2.62,177,0,Ms,29,1,0,0,2,0,1,0,0,57,42,15,4,1,2,2,4,0,5,2,6,7,1,5,12,1,2,31/03/1999,0,1075340784,IL,1,2,2,0,11,3,11,3.464646465,4,female
80,0,194,31100,40300,3.04,187,0,Mrs,33,1,0,1,0,0,1,0,0,57,38,195,1,5,0,2,8,2,7,9,9,2,4,4,15,0,2,01/04/1999,0,1075417707,IL,1,2,2,0,12,3,11,2.042105263,2,female
81,0,73,15500,23000,1.52,246,1,Mrs,34,1,0,0,0,1,1,0,0,22,14,187,9,0,2,2,2,2,1,0,1,4,1,1,5,0,0,07/12/1998,0,1075866598,IL,1,2,1,3,12,2,16,2.027777778,4,female
82,0,143,33800,47600,1.57,51,1,Mrs,40,1,0,0,0,0,0,0,1,50,46,143,-999,0,3,0,4,2,2,1,1,3,2,0,3,0,2,24/12/1998,0,1076033735,IL,1,2,2,5,15,3,1,1.489583333,3,female
83,1,3008,25600,32400,7.71,2,1,Ms,41,1,0,0,13,2,5,9,1,90,68,135,101,3,2,7,21,5,19,9,24,9,5,2,19,5,8,02/04/1999,4,1076486255,IL,1,2,2,0,22,3,11,19.03797468,18,female
84,0,236,26000,44700,1.88,19,1,Mrs,33,1,0,0,2,1,1,0,0,34,19,167,4,1,3,0,7,2,1,0,1,1,4,3,19,1,0,10/12/1998,0,1077280426,IL,2,2,1,1,15,2,1,4.452830189,3,female
85,0,0,25100,40200,1.64,561,1,Ms,34,1,0,0,0,0,0,0,0,25,0,0,1,2,1,2,0,0,0,2,5,1,4,3,1,1,1,10/02/1999,0,1077499836,IL,1,2,2,0,13,3,16,0,3,female
86,1,1397,18300,35200,5.85,51,1,Ms,34,1,0,0,3,1,1,3,1,93,37,91,26,2,1,2,16,11,5,7,7,5,3,1,15,0,11,25/12/1998,0,1077766747,MO,1,4,2,2,12,1,11,10.74615385,6,female
87,0,265,21200,32700,1.1,309,1,Ms,30,1,0,0,3,0,1,0,0,44,19,0,6,1,3,0,2,3,4,1,1,3,0,1,2,0,0,12/03/1999,0,1078154257,MO,1,2,2,0,23,2,11,4.206349206,3,female
88,0,114,21800,36900,1.34,50,1,Mrs,43,1,0,0,0,1,1,0,0,46,39,153,17,0,0,1,3,0,4,0,4,1,2,2,5,0,3,10/12/1998,0,1079972475,MO,1,4,2,0,24,1,11,1.341176471,1,female
89,1,839,25400,52100,5.29,16,1,Mr,24,1,0,0,2,0,4,1,0,85,52,0,-999,9,6,5,10,3,4,4,8,7,9,1,0,3,6,14/12/1998,0,1080460106,KS,1,2,2,0,18,3,16,6.124087591,12,male
90,1,105,26900,44800,0.71,129,1,None,27,1,0,0,0,1,1,0,0,38,40,77,0,0,2,0,2,0,1,2,4,0,0,2,2,0,0,23/01/1999,0,1080999699,KS,1,2,2,0,7,3,5,1.346153846,2,female
91,1,0,27900,59100,0.72,554,1,Ms,20,1,0,0,0,0,0,0,0,11,9,0,4,0,0,2,2,0,4,0,1,0,1,1,0,0,1,03/01/1999,0,1084659075,AR,1,2,2,0,12,3,16,0,2,female
92,0,0,22400,52600,1.97,471,0,Ms,23,1,0,0,0,0,0,0,0,41,39,5,39,1,1,2,9,3,5,0,4,4,2,3,3,1,1,11/01/1999,0,1085062253,AR,1,2,2,2,11,1,15,0,3,female
93,1,125,23600,39200,0.36,283,1,None,27,1,0,0,0,0,1,0,0,59,8,83,-999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18/12/1998,0,1085429445,OK,1,2,2,0,22,2,14,1.865671642,0,female
94,1,27,40200,72200,0.52,262,0,Ms,38,1,0,0,0,0,0,0,0,28,29,109,0,0,1,0,2,1,0,1,5,0,0,0,0,0,0,08/01/1999,0,1085649265,OK,1,2,2,0,20,3,1,0.473684211,1,female
95,1,305,34700,62000,4.96,3,1,None,30,1,0,0,3,2,0,0,0,72,57,113,9,1,1,0,12,2,14,0,16,3,3,3,26,4,9,24/12/1998,0,1086926951,TX,1,1,2,0,31,2,16,2.364341085,1,female
96,0,1921,24900,40900,3.62,100,1,Mrs,38,1,0,0,1,1,4,1,1,74,51,1,1,10,2,1,3,1,1,2,4,4,4,1,4,4,10,01/01/1999,0,1087729123,TX,1,2,2,0,17,2,16,15.368,4,female
97,1,255,31500,64800,0.52,39,1,Mr,33,1,0,0,1,0,0,1,0,12,22,0,-999,0,4,0,0,0,0,2,1,0,2,0,0,1,0,06/04/1999,0,1087998074,TX,1,1,2,0,30,2,11,7.5,5,male
98,0,188,32100,51800,0.42,225,1,Mr,44,1,0,0,0,1,0,0,0,40,31,439,-999,0,1,1,0,0,0,0,1,0,1,0,0,0,0,12/12/1998,0,1088212673,TX,1,2,2,0,20,3,1,2.647887324,2,male
99,0,110,28700,42900,0.99,182,1,Ms,42,1,0,0,2,0,0,0,0,42,32,99,16,0,1,0,0,0,0,2,4,0,3,3,1,2,0,02/02/1999,0,1088532567,TX,1,2,2,0,13,2,16,1.486486487,1,female
100,1,2447,39500,51500,3.68,32,1,Mrs,41,1,0,0,2,1,4,0,1,83,56,157,23,3,0,2,26,1,8,4,5,4,4,0,8,2,5,13/03/1999,0,1089656118,TX,1,2,2,6,19,3,1,17.60431655,2,female
101,0,0,33600,59700,1.98,393,1,Ms,31,1,0,0,0,0,0,0,0,46,33,201,22,0,0,1,4,3,4,0,2,0,3,1,13,6,0,04/01/1999,0,1089875122,TX,1,1,2,0,34,2,2,0,1,female
102,0,46,29200,41300,0.45,112,1,Mrs,60,1,0,0,0,1,0,0,0,0,0,245,0,0,4,0,0,0,0,0,1,1,1,0,1,0,0,16/02/1999,0,1090014026,TX,1,2,2,0,22,3,11,0,4,female
103,1,304,19300,41600,0.74,198,1,Mrs,33,1,0,0,0,2,0,0,0,56,23,61,0,1,2,0,1,0,0,3,1,0,1,1,1,1,3,17/02/1999,0,1091132892,TX,4,2,1,0,14,1,16,3.848101266,2,female
104,0,0,19700,52100,1.25,641,1,Mr,27,1,0,0,0,0,0,0,0,62,54,453,15,1,0,1,4,2,1,2,5,3,2,0,6,0,1,04/03/1999,0,1091363836,TX,1,2,1,0,17,2,16,0,1,male
105,0,0,23000,68500,2.01,631,1,Ms,37,1,0,0,0,0,0,0,0,42,35,61,0,0,2,1,6,0,1,0,3,3,0,1,2,0,2,31/12/1998,0,1091735769,NM,1,2,2,1,14,3,16,0,3,female
106,0,0,20800,49200,0.54,909,1,Mrs,32,1,0,0,0,0,0,0,0,31,29,31,2,0,2,1,3,0,3,0,2,0,0,0,3,0,1,31/12/1998,0,1092919743,CO,1,2,1,2,19,2,11,0,3,female
107,1,42,20300,58600,0.56,39,1,Mrs,19,1,0,0,0,0,0,0,0,40,44,0,-999,0,0,1,2,0,0,1,2,0,0,0,0,1,0,07/04/1999,0,1094654660,AZ,1,1,2,0,7,2,16,0.5,1,female
108,1,124,46000,83800,1.61,186,1,Mrs,31,1,0,0,0,0,0,0,0,36,32,35,15,0,3,2,3,1,0,3,3,1,0,0,0,0,1,25/12/1998,0,1094905567,UT,1,2,2,0,21,3,1,1.823529412,5,female
109,1,0,33700,71500,1.39,448,1,Mrs,41,1,0,0,0,0,0,0,0,14,16,7,3,1,2,0,16,0,3,1,1,0,0,5,4,1,1,01/04/1999,0,1095426928,UT,1,2,2,0,14,3,14,0,2,female
110,0,0,29100,180600,0.68,686,1,Mr,26,1,0,0,0,0,0,0,0,37,40,37,12,2,2,0,0,0,0,0,3,2,0,1,0,0,0,12/03/1999,0,1098264417,CA,4,2,1,0,30,1,11,0,2,male
111,1,434,62400,300800,1.49,29,1,Mr,39,1,0,0,1,2,5,0,0,56,31,37,5,5,2,0,2,1,0,0,1,3,3,0,0,0,0,22/02/1999,0,1098885872,CA,1,2,2,0,20,3,1,4.988505747,2,male
